# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID.1,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat.1,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP.1
232.38,DZF,DZF,Maidan Cattle (Karachi),2025-01-13,DZF,92,Local crossbred,Cow,Yes,Right,15.45,Natural heat,Fresh,DZF-1045-1,2025-03-17,Fakhar,Javeria,3.17,"6,6",1.0,Yes,6.25,2024-04-25,Open,2024-07-04,68,60,2024-05-24,D1,Angus,3.7,Commando 888/47,2.1,Sexed Female,Grey Brahman,Dawood,-207.91,196.11
317.5,DZF,DZF,Maidan Cattle (Karachi),2025-01-02,DZF,31546,Local crossbred,Cow,.,Left,15.45,CIDR+E2+PGF+ECG,Frozen,DZF-1043-1,2024-12-26,Hamid,Talal,3.41,"6,7",1.0,Yes,6.67,2025-02-24,Pregnant,2024-02-01,59,81,2024-10-19,12691,Beef Master,3,Commando 888/47,1.4,Sexed Female,Cross Breed,Dawood,-175.71,179.86
122.4,DZF,DZF,DZF,2025-01-20,DZF,DZ 42,Local crossbred,Cow,Yes,left,15.5,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1060-1,2024-11-13,Ruben,Masroor,3.22,"6,7",1.0,Yes,6.33,2024-10-15,Pregnant,2025-03-13,41,20,2024-01-11,825/4,Cross Breed,2.5,BRC MR. JUMANJI 67,1.7,Sexed Female,Holstein Friesian,Dawood,-253.31,143.98
182.44,DZF,DZF,Model Cattle (Karachi),2025-05-04,Maidan Cattle (Karachi),94,Local crossbred,Cow,.,left,8.15,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1018-3,2024-07-31,Masroor,Javeria,2.95,5,1.0,Yes,6.51,2024-12-30,Recheck,2024-10-25,5,22,2024-03-12,967,Nukra,2.5,VL Rojo Whiskey 60/1,2,Pre-Sorted for Female,Grey Brahman,Dawood,-243.62,227.9
368.52,DZF,DZF,DZF,2024-01-30,DZF,258,Local crossbred,Cow,Yes,Right,15.45,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1040-1,2024-11-24,Yaseen,Umer,3.5,"6,7",1.0,Yes,6.88,2024-12-20,Pregnant,2024-01-14,27,15,2024-02-23,747,Nukra,2.3,BRC MR. JUMANJI 67,2.7,Conventional,Holstein Friesian,Dawood,-263.4,177.41
193.42,DZF,DZF,Model Cattle (Karachi),2024-11-25,DZF,140,Local crossbred,Cow,.,Left,13.75,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1045-1,2024-01-28,Masroor,Talal,3.75,8,1.0,Yes,6.7,2024-03-01,Pregnant,2024-03-31,44,50,2024-05-05,991,Beef crossbred,-6.1,BRC MR. JUMANJI 67,2.7,Sexed Female,Red Brahman,Dawood,-214.05,244.43
344.6,DZF,DZF,Maidan Cattle (Karachi),2024-10-11,Model Cattle (Karachi),272,Local crossbred,Cow,Yes,left,9,CIDR+E2+PGF+ECG,Fresh,DZF-1056-1,2024-05-12,Hamid,Masroor,3.3,8,1.0,Yes,6.19,2024-09-01,Recheck,2024-05-10,30,40,2024-07-27,85M,Braford,3,VL Rojo Whiskey 1/48,2.1,Pre-Sorted for Female,Grey Brahman,Dawood,-192.59,239.2
142.6,DZF,DZF,Maidan Cattle (Karachi),2024-04-15,Model Cattle (Karachi),184,Local crossbred,Cow,Yes,Left,21,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1043-1,2024-05-29,Yaseen,Hamid,2.96,6,1.0,Yes,6.96,2024-03-28,Open,2024-04-30,65,69,2024-01-22,402,Cross Breed,3.7,CAUCHITOS KARU SIMON 922/6,2.5,Sexed Female,Beef Crossbred,Dawood,-203.88,276.99
457.18,DZF,DZF,DZF,2024-03-03,Maidan Cattle (Karachi),162,Local crossbred,Cow,Yes,Left,14.4,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1016-1,2024-09-04,Fakhar,Javeria,2.93,"6,8",1.0,Yes,6.87,2024-02-10,Recheck,2025-03-17,77,43,2025-03-31,649,Beef Master,3.6,Genosource Captain-ET,.,Conventional,Holstein Friesian,Dawood,-150.08,254.59
262.49,DZF,DZF,DZF,2025-04-23,Maidan Cattle (Karachi),294,Local crossbred,Cow,Yes,Right,10.2,Natural heat,Fresh,DZF-1018-2,2024-12-11,Fakhar,Hamid,2.95,6,1.0,Yes,6.71,2024-01-07,Pregnant,2025-04-27,43,7,2025-03-04,649/9,Fresian,2.3,MR V8 160/8,3.7,Pre-Sorted for Female,Cross Breed,Dawood,-231.38,87.71
136.47,DZF,DZF,Model Cattle (Karachi),2024-12-05,DZF,349,Local crossbred,Cow,Yes,Right,21,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1040-1,2025-04-15,Yaseen,Umer,3.75,"6,6",1.0,Yes,6.11,2025-05-02,Recheck,2024-07-15,38,4,2024-07-22,04-08,Beef crossbred,-7.6,Commando 888/47,2,Sexed Female,Angus,Dawood,-239.38,191.79
278.23,DZF,DZF,DZF,2024-09-16,Maidan Cattle (Karachi),159,Local crossbred,Cow,Yes,left,10.37,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1018-2,2025-01-16,Masroor,Masroor,3.04,"6,6",1.0,Yes,6.98,2025-04-18,Open,2024-12-24,96,99,2024-10-13,967/9,Cross Breed,3.1,CAUCHITOS KARU SIMON 922/6,1.7,Sexed Female,Beef Crossbred,Dawood,-252.21,130.59
121.37,DZF,DZF,DZF,2024-09-06,Model Cattle (Karachi),344,Local crossbred,Cow,Yes,.,16,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1055-1,2025-01-30,Masroor,Talal,3.58,7,1.0,Yes,6.75,2024-09-22,Pregnant,2025-02-03,53,86,2025-04-26,N,Beef Master,3.1,Genosource Captain-ET,2,Pre-Sorted for Female,Angus,Dawood,-232.38,281.6
168.81,DZF,DZF,Maidan Cattle (Karachi),2025-05-03,DZF,31947,Local crossbred,Cow,Yes,right,15.75,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1014-1,2024-11-18,Fakhar,Talal,2.85,6,1.0,Yes,6.57,2024-12-17,Recheck,2025-01-06,4,69,2024-06-03,4-Apr,Braford,2.1,MR. CLAYTON SLUGGER,-0.89,Conventional,Cross Breed,Dawood,-266.62,82.49
74.94,DZF,DZF,Model Cattle (Karachi),2024-01-30,Maidan Cattle (Karachi),24,Local crossbred,Cow,Yes,right,13.25,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1000-1,2025-04-30,Ruben,Javeria,3.71,"7,7",1.0,Yes,6.66,2024-08-31,Recheck,2024-10-03,2,83,2025-01-14,649,Cross Breed,1.9,NCC Jackpot,-0.89,Sexed Female,Beef Crossbred,Dawood,-122.67,194.55
146.83,DZF,DZF,DZF,2024-06-27,Maidan Cattle (Karachi),22/1,Local crossbred,Cow,.,.,14.4,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1045-1,2024-02-22,Masroor,Javeria,2.94,8,1.0,Yes,6.52,2024-04-30,Open,2024-04-01,69,17,2024-03-19,609,Braford,-0.4,Reconquista 413 Eterno GC Bartolome,.,Pre-Sorted for Female,Grey Brahman,Dawood,-106.01,123.43
30.54,DZF,DZF,Maidan Cattle (Karachi),2024-03-04,Maidan Cattle (Karachi),31786,Local crossbred,Cow,.,.,13.5,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1014-1,2024-01-02,Yaseen,Javeria,3.29,"7,7",1.0,Yes,6.06,2024-10-07,Open,2024-01-05,93,91,2025-01-12,649,Grey Brahman,3.6,Mr H Pride of Maddox Manso 684/8,1.4,Pre-Sorted for Female,Red Brahman,Dawood,-204.46,201.3
141.78,DZF,DZF,DZF,2024-01-04,DZF,87,Local crossbred,Cow,Yes,right,15.75,Natural heat,Fresh,DZF-1018-2,2024-04-19,Ruben,Talal,3.63,"6,8",1.0,Yes,6.23,2024-06-21,Open,2024-06-07,82,17,2024-06-05,23035,Red Brahman,2.1,Commando 888/47,2.1,Conventional,Red Brahman,Dawood,-116.08,146.22
460.83,DZF,DZF,Maidan Cattle (Karachi),2024-07-17,Model Cattle (Karachi),122,Local crossbred,Cow,Yes,.,8,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1055-1,2024-05-17,Masroor,Hamid,2.83,5,1.0,Yes,6.21,2024-07-16,Pregnant,2024-08-10,95,52,2024-12-26,204,Grey Brahman,.,6.966666667,.,Sexed Female,Cross Breed,Dawood,-191.31,91.72
130.18,DZF,DZF,Model Cattle (Karachi),2024-07-03,Maidan Cattle (Karachi),276,Local crossbred,Cow,.,right,14.3,CIDR+E2+PGF+ECG,Frozen,DZF-1018-1,2024-03-14,Yaseen,Hamid,3.09,7,1.0,Yes,6.86,2024-09-18,Pregnant,2024-11-05,94,36,2025-01-03,820/4,Red Brahman,2.1,SM007,2,Sexed Female,Angus,Dawood,-126.6,152.47
168.55,DZF,DZF,DZF,2025-01-01,DZF,319,Local crossbred,Cow,.,right,13.1,CIDR+E2+PGF+ECG,Fresh,DZF-1016-1,2025-01-20,Hamid,Hamid,3.58,"7,8",1.0,Yes,6.47,2025-03-21,Pregnant,2024-07-27,75,53,2024-07-06,04-08,Grey Brahman,2.5,BRC Dutton 376/8,2.7,Sexed Female,Beef Crossbred,Dawood,-173.65,203.74
95.59,DZF,DZF,Maidan Cattle (Karachi),2024-04-05,DZF,244,Local crossbred,Cow,.,Left,13,Natural heat,Fresh,.,2024-09-18,Masroor,Umer,3.69,"7,7",1.0,Yes,6.19,2024-11-12,Recheck,2024-11-07,62,85,2025-01-30,597,Red Brahman,3.7,Genosource Captain-ET,2.7,Pre-Sorted for Female,Cross Breed,Dawood,-262.27,182.49
72.9,DZF,DZF,DZF,2025-04-26,Maidan Cattle (Karachi),31528,Local crossbred,Cow,.,Right,14.4,CIDR+Estradiol+PGF+GnRH,Frozen,.,2025-04-26,Yaseen,Hamid,3.19,8,1.0,Yes,6.87,2024-07-06,Recheck,2024-08-17,67,55,2024-11-20,3/4,Fresian,3.1,VL Rojo Whiskey 60/1,6.2,Pre-Sorted for Female,Red Brahman,Dawood,-271.82,209.52
476.28,DZF,DZF,DZF,2024-03-13,DZF,4,Local crossbred,Cow,Yes,Left,15.7,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1056-1,2024-07-05,Ruben,Masroor,3.74,"7,7",1.0,Yes,6.49,2025-02-27,Pregnant,2024-02-14,39,95,2025-04-01,600,Cross Breed,1.6,VL Rojo Whiskey 60/1,2.7,Conventional,Angus,Dawood,-153.13,185.8
303.7,DZF,DZF,Maidan Cattle (Karachi),2025-03-12,Model Cattle (Karachi),31903,Local crossbred,Cow,Yes,right,18,CIDR+E2+PGF+ECG,Frozen,DZF-1040-1,2024-07-22,Ruben,Umer,3.21,7,1.0,Yes,6.69,2025-04-24,Pregnant,2025-02-22,30,58,2025-03-21,3/4,Red Brahman,1.4,Genosource Captain-ET,2.1,Sexed Female,Grey Brahman,Dawood,-248.07,67.4
407.4,DZF,DZF,DZF,2025-04-23,DZF,31459,Local crossbred,Cow,.,right,10.5,CIDR+Estradiol+PGF+GnRH,Frozen,DZF-1016-1,2024-04-03,Yaseen,Umer,3.69,6,1.0,Yes,6.97,2024-12-14,Pregnant,2024-01-11,59,78,2025-01-30,609/9,Angus,-0.4,Mr Karu Manso 800,2.5,Conventional,Beef Crossbred,Dawood,-88.98,218.9
149.3,DZF,DZF,Maidan Cattle (Karachi),2024-01-27,Model Cattle (Karachi),361,Local crossbred,Cow,Yes,Left,13.75,Natural heat,Fresh,DZF-1010-1,2024-11-22,Ruben,Talal,3.11,7,1.0,Yes,6.5,2024-04-15,Open,2024-12-09,58,65,2024-09-09,12691,Cross Breed,2.2,BRC Dutton 376/8,6.2,Conventional,Red Brahman,Dawood,-93.11,79.79
144.28,DZF,DZF,Maidan Cattle (Karachi),2024-02-14,DZF,241,Local crossbred,Cow,Yes,right,14.8,Natural heat,Frozen,DZF-1040-1,2024-02-04,Yaseen,Umer,3.27,"6,6",1.0,Yes,6.14,2024-03-31,Open,2024-05-16,21,22,2024-04-10,597,Angus,1.4,VL Rojo Whiskey 1/48,.,Sexed Female,Angus,Dawood,-138.92,75.89
487.67,DZF,DZF,DZF,2024-11-02,Model Cattle (Karachi),32107,Local crossbred,Cow,Yes,Left,19.5,CIDR+E2+PGF+ECG,Frozen,DZF-1056-1,2025-01-08,Ruben,Umer,2.89,"7,7",1.0,Yes,6.36,2024-06-27,Open,2024-04-17,31,55,2024-02-01,967/9,Braford,.,Modesto 209,2.7,Conventional,Angus,Dawood,-136.37,182.71
364.34,DZF,DZF,Maidan Cattle (Karachi),2024-12-17,Model Cattle (Karachi),32305,Local crossbred,Cow,Yes,.,14.4,CIDR+E2+PGF+ECG,Frozen,.,2024-01-14,Hamid,Hamid,2.99,"6,7",1.0,Yes,6.29,2025-02-01,Pregnant,2025-01-06,47,17,2024-01-18,602,Beef crossbred,2.5,BRC Dutton 376/8,6.2,Conventional,Beef Crossbred,Dawood,-175.48,146.41
212.62,DZF,DZF,DZF,2024-03-13,DZF,192,Local crossbred,Cow,Yes,Right,15.4,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1000-1,2024-05-27,Hamid,Talal,3.53,7,1.0,Yes,6.19,2024-02-10,Open,2025-01-17,29,88,2024-12-31,246,Red Brahman,3.7,CAUCHITOS KARU SIMON 922/6,1.4,Pre-Sorted for Female,Red Brahman,Dawood,-247.49,198.07
77.7,DZF,DZF,DZF,2025-02-28,DZF,27,Local crossbred,Cow,.,Left,8,Natural heat,Frozen,DZF-1018-1,2024-08-24,Hamid,Hamid,3.7,8,1.0,Yes,6.95,2024-06-09,Open,2024-11-19,21,39,2024-09-06,D3,Red Brahman,1.4,BRC MR. JUMANJI 67,2.1,Sexed Female,Angus,Dawood,-208.79,176.8
450.11,DZF,DZF,DZF,2024-04-20,Model Cattle (Karachi),155,Local crossbred,Cow,Yes,Right,11.1,CIDR+Estradiol+PGF+GnRH,Fresh,DZF-1010-1,2024-04-26,Hamid,Umer,3.4,"7,7",1.0,Yes,6.26,2024-06-05,Open,2024-05-30,18,9,2024-09-28,D1,Grey Brahman,1.9,MR. CLAYTON SLUGGER,-0.89,Sexed Female,Red Brahman,Dawood,-161.04,97.17
250.91,DZF,DZF,Maidan Cattle (Karachi),2024-06-04,DZF,88,Local crossbred,Cow,.,Right,11,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1018-1,2024-09-21,Masroor,Talal,3.5,"6,8",1.0,Yes,6.96,2025-01-03,Open,2024-02-25,57,44,2024-01-12,85M,Cross Breed,2.5,Mr Karu Manso 800,.,Conventional,Grey Brahman,Dawood,-227.34,282.83
25.95,DZF,DZF,Model Cattle (Karachi),2024-04-05,DZF,292,Local crossbred,Cow,Yes,left,15.2,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1018-3,2024-07-16,Ruben,Masroor,3.41,"7,8",1.0,Yes,6.19,2025-02-23,Pregnant,2025-03-10,34,91,2025-02-28,4-Apr,Cross Breed,1.9,Modesto 209,3.7,Pre-Sorted for Female,Holstein Friesian,Dawood,-110.04,279.71
124.01,DZF,DZF,Model Cattle (Karachi),2024-06-15,Maidan Cattle (Karachi),221,Local crossbred,Cow,Yes,.,10.3,CIDR+E2+PGF+ECG,Frozen,DZF-1044-1,2024-11-10,Fakhar,Hamid,3.49,"6,8",1.0,Yes,6.31,2025-04-02,Pregnant,2024-10-07,69,91,2025-02-18,991,Beef crossbred,-7.6,VL Rojo Whiskey 1/48,1.7,Pre-Sorted for Female,Red Brahman,Dawood,-115.34,97.53
172.52,DZF,DZF,Maidan Cattle (Karachi),2024-08-17,Maidan Cattle (Karachi),30,Local crossbred,Cow,.,Right,13.75,CIDR+E2+ECG+PGF+GnRH,Fresh,DZF-1016-1,2024-03-12,Ruben,Javeria,3.5,"6,6",1.0,Yes,6.59,2024-06-28,Pregnant,2025-02-02,53,12,2024-10-03,408,Beef Master,-7.6,BRC Dutton 376/8,.,Sexed Female,Holstein Friesian,Dawood,-242.62,123.11
19.36,DZF,DZF,Model Cattle (Karachi),2025-01-11,Maidan Cattle (Karachi),270,Local crossbred,Cow,.,left,19.5,CIDR+GnRH+PGF+GnRH,Frozen,DZF-1018-2,2024-10-12,Fakhar,Talal,2.8,"7,7",1.0,Yes,6.92,2024-08-27,Open,2024-06-23,84,60,2025-05-10,246,Cross Breed,2.1,VL Rojo Whiskey 1/48,1.4,Sexed Female,Angus,Dawood,-120.18,178.45
379.59,DZF,DZF,Maidan Cattle (Karachi),2024-05-29,Model Cattle (Karachi),32205,Local crossbred,Cow,Yes,Left,14.6,CIDR+E2+PGF+ECG,Fresh,DZF-1043-1,2024-05-19,Hamid,Talal,3.47,6,1.0,Yes,6.57,2024-12-14,Open,2024-05-05,80,5,2025-03-10,827,Beef Master,3.1,Reconquista 413 Eterno GC Bartolome,2.1,Conventional,Red Brahman,Dawood,-225.32,90.19
202.26,DZF,DZF,Maidan Cattle (Karachi),2024-05-10,DZF,316,Local crossbred,Cow,Yes,Left,13.75,Natural heat,Fresh,DZF-1060-1,2024-11-10,Fakhar,Talal,3.32,7,1.0,Yes,6.88,2025-01-21,Recheck,2025-02-18,91,29,2024-06-17,597/9,Braford,2.3,NCC Jackpot,1.4,Conventional,Beef Crossbred,Dawood,-227.48,94.96
487.78,DZF,DZF,Model Cattle (Karachi),2024-09-16,DZF,265,Local crossbred,Cow,.,left,12.1,CIDR+E2+PGF+ECG,Frozen,DZF-1044-1,2024-02-25,Yaseen,Masroor,3.06,"6,8",1.0,Yes,6.6,2024-02-15,Open,2025-03-13,14,31,2024-07-01,649/9,Nukra,1.5,SM007,2.5,Sexed Female,Red Brahman,Dawood,-234.98,238.87
253.45,DZF,DZF,DZF,2025-01-12,Maidan Cattle (Karachi),31890,Local crossbred,Cow,Yes,.,16.2,CIDR+E2+PGF+ECG,Fresh,DZF-1053-1,2024-07-21,Ruben,Talal,3.42,"6,7",1.0,Yes,6.1,2025-01-18,Open,2025-05-14,99,45,2024-09-06,D3,Cross Breed,-2.6,BRC Dutton 376/8,2.1,Sexed Female,Grey Brahman,Dawood,-262.02,76.83
200.85,DZF,DZF,DZF,2024-12-18,Model Cattle (Karachi),DZ 88,Local crossbred,Cow,.,Right,15.7,CIDR+E2+PGF+ECG,Frozen,DZF-1018-2,2024-09-02,Ruben,Javeria,3.26,"6,8",1.0,Yes,6.06,2024-02-26,Open,2024-03-31,97,50,2024-12-22,SM006,Fresian,3.7,Genosource Captain-ET,2.1,Sexed Female,Red Brahman,Dawood,-107.94,109.75
232.6,DZF,DZF,Model Cattle (Karachi),2024-11-25,Model Cattle (Karachi),356,Local crossbred,Cow,Yes,left,12.1,CIDR+E2+PGF+ECG,Fresh,DZF-1053-1,2024-10-05,Hamid,Javeria,3.26,8,1.0,Yes,6.5,2024-04-18,Pregnant,2025-04-18,42,81,2024-01-13,602,Braford,2.3,6.966666667,-0.89,Pre-Sorted for Female,Angus,Dawood,-129.14,63.12
252.14,DZF,DZF,Model Cattle (Karachi),2024-03-25,DZF,70,Local crossbred,Cow,.,Left,10,Natural heat,Frozen,DZF-1042-1,2025-02-26,Yaseen,Hamid,2.75,"7,8",1.0,Yes,6.43,2024-09-30,Open,2025-04-02,51,20,2024-04-24,984,Nukra,2.8,MR. CLAYTON SLUGGER,6.2,Sexed Female,Cross Breed,Dawood,-204.45,200.62
152.99,DZF,DZF,DZF,2025-02-20,Maidan Cattle (Karachi),7,Local crossbred,Cow,.,left,9.9,CIDR+E2+PGF+ECG,Fresh,DZF-1060-1,2024-08-27,Ruben,Hamid,3.19,"7,7",1.0,Yes,6.32,2025-02-01,Open,2025-02-11,25,9,2024-01-01,D3,Angus,2.9,MR V8 160/8,1.4,Sexed Female,Beef Crossbred,Dawood,-118.36,99.76
179.24,DZF,DZF,DZF,2024-12-25,Maidan Cattle (Karachi),69,Local crossbred,Cow,.,Right,21.5,CIDR+E2+PGF+ECG,Fresh,DZF-1000-1,2025-05-04,Hamid,Hamid,3.58,"7,8",1.0,Yes,6.23,2024-01-26,Open,2024-03-27,65,60,2024-05-19,608,Cross Breed,3.7,JDH Janos Manso 709,-0.89,Pre-Sorted for Female,Angus,Dawood,-200.42,157.26
192.21,DZF,DZF,DZF,2024-11-12,Model Cattle (Karachi),141,Local crossbred,Cow,.,.,21.2,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1016-6,2025-03-01,Fakhar,Talal,3.31,"6,8",1.0,Yes,6.68,2024-07-15,Pregnant,2024-05-08,36,58,2024-11-06,765/4,Nukra,-7.6,Modesto 209,2.7,Conventional,Grey Brahman,Dawood,-117.61,100.4
278.07,DZF,DZF,DZF,2024-06-08,Maidan Cattle (Karachi),105,Local crossbred,Cow,.,left,10.25,Natural heat,Frozen,DZF-1044-1,2024-04-24,Yaseen,Umer,3.42,4,1.0,Yes,6.92,2024-10-25,Pregnant,2024-01-23,41,55,2024-07-06,D2,Fresian,-0.4,Mr H Pride of Maddox Manso 684/8,2.7,Conventional,Holstein Friesian,Dawood,-266.99,291.24
84.22,DZF,DZF,Model Cattle (Karachi),2024-08-06,Model Cattle (Karachi),154,Local crossbred,Cow,Yes,Left,22.1,CIDR+E2+ECG+PGF+GnRH,Fresh,.,2025-01-25,Masroor,Masroor,3.2,4,1.0,Yes,6.97,2024-03-11,Open,2024-01-11,67,5,2024-03-17,D2,Nukra,3.6,VL Rojo Whiskey 1/48,2.5,Sexed Female,Cross Breed,Dawood,-239.8,138.4
336.35,DZF,DZF,Model Cattle (Karachi),2025-03-22,Maidan Cattle (Karachi),384,Local crossbred,Cow,.,right,15,CIDR+E2+ECG+PGF+GnRH,Frozen,DZF-1018-3,2025-04-22,Masroor,Talal,3.53,"6,8",1.0,Yes,6.04,2024-03-30,Recheck,2024-05-12,19,35,2024-03-01,747,Cross Breed,1.9,6.966666667,3.7,Conventional,Holstein Friesian,Dawood,-200.59,218.03
64.87,DZF,DZF,DZF,2024-11-13,Maidan Cattle (Karachi),49,Local crossbred,Cow,.,right,10.3,CIDR+GnRH+PGF+GnRH,Fresh,DZF-1000-1,2024-04-21,Hamid,Javeria,3.11,6,1.0,Yes,6.71,2025-05-15,Open,2025-05-14,41,62,2025-01-13,85M,Nukra,2.9,MR. CLAYTON SLUGGER,2.7,Pre-Sorted for Female,Holstein Friesian,Dawood,-123.56,143.32
