Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Sr. No,ET Date,328,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,18-Jan-2026,77
8,10/27/2025,32216,D3,D2,Dawood - Shazain Cattle Farm,DIP
7,10/27/2025,32824,Prepared On,Units,BRC MR. JUMANJI 67,96
Notes:,11/3/2025,32824,D3,D3,Dawood - Shazain Cattle Farm,114
Notes:,BRC Dutton 376/8,32386,D3,4,18-Jan-2026,77
2,12/3/2025,32386,D2,D2,18-Jan-2026,243
11,11/3/2025,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,18-Jan-2026,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/3/2025,328,CONFIRMED IVF PREGNANCY REPORT,4,BRC MR. JUMANJI 67,114
4,Total,Recipient ID,Prepared On,12,18-Jan-2026,107
12,12/3/2025,32144,Prepared On,D3,MR. CLAYTON SLUGGER,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",6/20/2025,197,CONFIRMED IVF PREGNANCY REPORT,4,SIRE Name,96
5,Summary ,277,Prepared For,1,BRC Dutton 376/8,243
3,5/21/2025,328,1st PC Result,5,BRC MR. JUMANJI 67,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",MR. CLAYTON SLUGGER,197,D2,2,18-Jan-2026,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Total,Recipient ID,Prepared For,2,18-Jan-2026,273
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",BRC Dutton 376/8,R1,DAM,12,SIRE Name,243
2. This report serves as official delivery confirmation for the client’s IVF order.,11/14/2025,R1,1st PC Result,12,SIRE Name,77
6,SIRE,32216,Prepared For,4,BRC MR. JUMANJI 67,107
4,11/14/2025,197,CONFIRMED IVF PREGNANCY REPORT,12,MR. CLAYTON SLUGGER,114
9,BRC Dutton 376/8,32057,Prepared On,5,18-Jan-2026,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/3/2025,32144,Pregnant,D2,MR. CLAYTON SLUGGER,243
8,Total,32216,1st PC Result,1,SIRE Name,96
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/3/2025,Recipient ID,Pregnant,5,18-Jan-2026,77
10,MR. CLAYTON SLUGGER,328,Prepared On,4,BRC MR. JUMANJI 67,96
8,BRC Dutton 376/8,32057,Prepared For,12,BRC Dutton 376/8,96
7,5/21/2025,32144,Prepared On,4,18-Jan-2026,114
2,Summary ,R4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,MR. CLAYTON SLUGGER,273
12,11/14/2025,32386,1st PC Result,Donor,MR. CLAYTON SLUGGER,114
Sr. No,5/21/2025,32216,Prepared For,D3,Dawood - Shazain Cattle Farm,273
7,MR. CLAYTON SLUGGER,32216,DAM,2,SIRE Name,243
9,MR. CLAYTON SLUGGER,32216,D3,4,BRC Dutton 376/8,96
4,ET Date,32057,D2,1,SIRE Name,96
11,BRC Dutton 376/8,328,DAM,4,SIRE Name,77
10,ET Date,277,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,18-Jan-2026,114
2,11/14/2025,32386,1st PC Result,5,SIRE Name,273
Sr. No,5/21/2025,197,CONFIRMED IVF PREGNANCY REPORT,Donor,SIRE Name,273
6,Summary ,Recipient ID,Prepared For,1,MR. CLAYTON SLUGGER,96
5,BRC MR. JUMANJI 67,R1,Prepared For,1,MR. CLAYTON SLUGGER,114
1,BRC Dutton 376/8,32824,CONFIRMED IVF PREGNANCY REPORT,D3,BRC MR. JUMANJI 67,114
6,11/3/2025,32824,Pregnant,1,18-Jan-2026,DIP
9,11/14/2025,277,1st PC Result,4,18-Jan-2026,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",5/21/2025,328,1st PC Result,1,BRC Dutton 376/8,114
Sr. No,11/3/2025,32293,Prepared On,1,18-Jan-2026,243
1,Total,277,Prepared For,5,BRC MR. JUMANJI 67,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",11/3/2025,32293,D2,4,SIRE Name,114
6,5/21/2025,32057,D3,Units,MR. CLAYTON SLUGGER,DIP
Sr. No,Summary ,32824,1st PC Result,D3,Dawood - Shazain Cattle Farm,96
2,6/20/2025,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Units,MR. CLAYTON SLUGGER,114
9,11/3/2025,197,1st PC Result,2,BRC MR. JUMANJI 67,114
4,11/3/2025,272,1st PC Result,12,SIRE Name,114
10,11/14/2025,32057,D3,D2,MR. CLAYTON SLUGGER,77
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/27/2025,272,D3,Donor,Dawood - Shazain Cattle Farm,107
6,Total,32824,D2,12,BRC MR. JUMANJI 67,DIP
11,11/14/2025,197,D3,5,BRC MR. JUMANJI 67,114
5,BRC Dutton 376/8,32293,Prepared On,1,Dawood - Shazain Cattle Farm,DIP
12,12/3/2025,32824,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,MR. CLAYTON SLUGGER,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Summary ,R4,DAM,Units,BRC MR. JUMANJI 67,107
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",SIRE,32057,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,5,BRC Dutton 376/8,243
9,Summary ,32057,DAM,D2,BRC MR. JUMANJI 67,96
4,12/3/2025,272,Prepared For,Units,18-Jan-2026,107
7,11/3/2025,32824,D2,2,18-Jan-2026,DIP
Notes:,11/14/2025,272,Pregnant,Donor,MR. CLAYTON SLUGGER,107
2. This report serves as official delivery confirmation for the client’s IVF order.,SIRE,32216,Pregnant,1,BRC Dutton 376/8,DIP
9,10/27/2025,197,Pregnant,4,18-Jan-2026,96
10,12/3/2025,197,Prepared On,D2,SIRE Name,77
Notes:,10/27/2025,32144,CONFIRMED IVF PREGNANCY REPORT,2,MR. CLAYTON SLUGGER,243
4,ET Date,32293,Prepared For,4,Dawood - Shazain Cattle Farm,114
Sr. No,ET Date,32824,DAM,D3,MR. CLAYTON SLUGGER,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",ET Date,R4,D2,D3,MR. CLAYTON SLUGGER,77
6,6/20/2025,32216,1st PC Result,Donor,MR. CLAYTON SLUGGER,77
1,BRC Dutton 376/8,Recipient ID,Prepared On,1,BRC MR. JUMANJI 67,114
Sr. No,10/27/2025,32293,DAM,1,18-Jan-2026,107
2. This report serves as official delivery confirmation for the client’s IVF order.,10/27/2025,32386,CONFIRMED IVF PREGNANCY REPORT,5,BRC Dutton 376/8,273
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,18-Jan-2026,243
7,11/14/2025,Recipient ID,Prepared For,D2,BRC Dutton 376/8,96
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,32144,DAM,D2,SIRE Name,107
2,6/20/2025,R4,CONFIRMED IVF PREGNANCY REPORT,Donor,Dawood - Shazain Cattle Farm,114
10,Total,32057,CONFIRMED IVF PREGNANCY REPORT,12,BRC MR. JUMANJI 67,DIP
2,Total,32144,Pregnant,12,BRC Dutton 376/8,77
1,MR. CLAYTON SLUGGER,197,1st PC Result,Units,BRC Dutton 376/8,114
5,6/20/2025,32144,1st PC Result,5,18-Jan-2026,DIP
2,10/27/2025,32057,Prepared On,D2,18-Jan-2026,243
Notes:,12/3/2025,Recipient ID,1st PC Result,4,Dawood - Shazain Cattle Farm,273
9,MR. CLAYTON SLUGGER,R1,Prepared On,4,18-Jan-2026,114
10,ET Date,197,Pregnant,Donor,18-Jan-2026,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",ET Date,272,Pregnant,12,SIRE Name,243
6,6/20/2025,32144,1st PC Result,Units,MR. CLAYTON SLUGGER,DIP
3,11/3/2025,277,D3,D2,SIRE Name,114
8,10/27/2025,Recipient ID,1st PC Result,5,Dawood - Shazain Cattle Farm,107
11,BRC Dutton 376/8,32057,CONFIRMED IVF PREGNANCY REPORT,D2,SIRE Name,DIP
6,BRC Dutton 376/8,32386,DAM,Units,BRC MR. JUMANJI 67,243
9,11/3/2025,R1,Prepared For,2,18-Jan-2026,107
Notes:,BRC Dutton 376/8,32144,D2,1,18-Jan-2026,273
2. This report serves as official delivery confirmation for the client’s IVF order.,SIRE,197,Prepared On,12,BRC Dutton 376/8,107
Notes:,12/3/2025,32293,CONFIRMED IVF PREGNANCY REPORT,2,Dawood - Shazain Cattle Farm,114
Sr. No,MR. CLAYTON SLUGGER,32824,Prepared For,12,MR. CLAYTON SLUGGER,243
6,BRC MR. JUMANJI 67,272,Prepared For,4,18-Jan-2026,DIP
10,Total,328,DAM,D3,MR. CLAYTON SLUGGER,273
9,10/27/2025,32144,Prepared For,5,Dawood - Shazain Cattle Farm,114
10,SIRE,197,Prepared For,5,18-Jan-2026,77
Notes:,12/3/2025,R1,D2,Units,18-Jan-2026,DIP
1,12/3/2025,Recipient ID,1st PC Result,Units,18-Jan-2026,107
5,11/14/2025,32824,Prepared For,1,SIRE Name,77
10,BRC Dutton 376/8,197,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,BRC Dutton 376/8,107
2. This report serves as official delivery confirmation for the client’s IVF order.,Total,R4,Prepared For,1,SIRE Name,273
11,6/20/2025,32216,D2,Donor,18-Jan-2026,273
Sr. No,MR. CLAYTON SLUGGER,R1,1st PC Result,Donor,18-Jan-2026,114
12,BRC MR. JUMANJI 67,Recipient ID,Prepared On,Units,SIRE Name,114
8,11/14/2025,R1,Prepared For,D3,BRC MR. JUMANJI 67,243
11,BRC MR. JUMANJI 67,328,DAM,1,18-Jan-2026,77
2,11/3/2025,32293,CONFIRMED IVF PREGNANCY REPORT,D2,SIRE Name,114
7,12/3/2025,32144,1st PC Result,D2,BRC Dutton 376/8,96
Sr. No,Total,R1,Prepared For,D2,SIRE Name,107
5,BRC Dutton 376/8,R1,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,BRC Dutton 376/8,273
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,32824,CONFIRMED IVF PREGNANCY REPORT,12,Dawood - Shazain Cattle Farm,114
2. This report serves as official delivery confirmation for the client’s IVF order.,Total,32057,1st PC Result,4,18-Jan-2026,77
6,Total,32824,Prepared For,1,BRC MR. JUMANJI 67,96
Notes:,6/20/2025,32216,1st PC Result,D2,MR. CLAYTON SLUGGER,114
7,11/3/2025,32386,Prepared For,1,Dawood - Shazain Cattle Farm,107
6,12/3/2025,32293,CONFIRMED IVF PREGNANCY REPORT,2,MR. CLAYTON SLUGGER,243
3,6/20/2025,32824,Prepared On,12,Dawood - Shazain Cattle Farm,114
6,11/14/2025,32386,Prepared For,2,MR. CLAYTON SLUGGER,114
Sr. No,BRC MR. JUMANJI 67,R4,D3,Units,SIRE Name,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC MR. JUMANJI 67,32057,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,BRC Dutton 376/8,273
1,SIRE,272,D3,12,18-Jan-2026,DIP
9,12/3/2025,328,D3,D2,18-Jan-2026,243
1,Summary ,32824,DAM,D2,SIRE Name,243
Sr. No,6/20/2025,272,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,18-Jan-2026,114
11,SIRE,197,D2,12,SIRE Name,DIP
4,ET Date,R4,D3,Donor,Dawood - Shazain Cattle Farm,96
7,SIRE,32057,DAM,Donor,BRC Dutton 376/8,DIP
9,5/21/2025,32386,Prepared On,1,BRC MR. JUMANJI 67,96
8,11/14/2025,32293,Prepared On,Units,18-Jan-2026,96
12,BRC MR. JUMANJI 67,R4,Pregnant,Units,BRC MR. JUMANJI 67,107
5,11/14/2025,32216,Prepared For,12,BRC MR. JUMANJI 67,DIP
1,Total,272,D2,12,BRC MR. JUMANJI 67,96
9,11/14/2025,32386,Prepared On,12,BRC Dutton 376/8,114
Sr. No,10/27/2025,328,CONFIRMED IVF PREGNANCY REPORT,1,MR. CLAYTON SLUGGER,77
2. This report serves as official delivery confirmation for the client’s IVF order.,12/3/2025,R1,1st PC Result,2,SIRE Name,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",5/21/2025,32144,Prepared On,4,MR. CLAYTON SLUGGER,107
4,5/21/2025,R4,Prepared For,Donor,BRC Dutton 376/8,273
2,12/3/2025,32057,DAM,4,BRC MR. JUMANJI 67,273
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",5/21/2025,272,D2,4,18-Jan-2026,107
Notes:,10/27/2025,R4,D2,D3,Dawood - Shazain Cattle Farm,77
7,Summary ,R4,DAM,4,SIRE Name,243
2. This report serves as official delivery confirmation for the client’s IVF order.,BRC Dutton 376/8,R4,1st PC Result,4,MR. CLAYTON SLUGGER,77
9,Summary ,272,Prepared For,Donor,BRC MR. JUMANJI 67,107
Notes:,11/14/2025,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,Donor,18-Jan-2026,273
1,BRC MR. JUMANJI 67,32216,Pregnant,D2,SIRE Name,77
10,11/3/2025,32057,Pregnant,12,BRC Dutton 376/8,107
1,11/14/2025,32824,CONFIRMED IVF PREGNANCY REPORT,D2,MR. CLAYTON SLUGGER,273
3,SIRE,R1,CONFIRMED IVF PREGNANCY REPORT,2,18-Jan-2026,114
3,12/3/2025,R4,DAM,12,BRC Dutton 376/8,107
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,32144,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,MR. CLAYTON SLUGGER,DIP
4,SIRE,32216,Prepared For,4,SIRE Name,243
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",11/3/2025,32293,DAM,D3,BRC Dutton 376/8,DIP
Notes:,5/21/2025,Recipient ID,Prepared On,4,18-Jan-2026,77
3,11/14/2025,R4,Prepared For,1,SIRE Name,77
12,11/14/2025,32144,D2,4,BRC MR. JUMANJI 67,114
9,12/3/2025,32824,1st PC Result,1,SIRE Name,96
4,ET Date,32386,D3,2,MR. CLAYTON SLUGGER,273
9,ET Date,32144,1st PC Result,Units,BRC MR. JUMANJI 67,243
1,MR. CLAYTON SLUGGER,32824,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D3,BRC MR. JUMANJI 67,77
6,12/3/2025,197,Prepared For,1,18-Jan-2026,273
10,11/3/2025,197,DAM,4,BRC MR. JUMANJI 67,107
Notes:,10/27/2025,32057,Pregnant,D2,18-Jan-2026,243
12,BRC Dutton 376/8,32293,DAM,Units,MR. CLAYTON SLUGGER,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Summary ,328,1st PC Result,5,MR. CLAYTON SLUGGER,243
8,10/27/2025,32216,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,D2,Dawood - Shazain Cattle Farm,243
12,5/21/2025,328,Prepared On,2,BRC MR. JUMANJI 67,114
5,SIRE,277,D3,2,BRC Dutton 376/8,77
12,6/20/2025,Recipient ID,CONFIRMED IVF PREGNANCY REPORT,2,Dawood - Shazain Cattle Farm,77
9,ET Date,Recipient ID,D2,5,BRC MR. JUMANJI 67,114
