Donor,Sire,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
3/4,VL Rojo Whiskey 1/48,35,BrafordBBQ,JDH Janos Manso 709,74,323,VL Rojo Whiskey 1/48
D2,JDH Janos Manso 709,2,BrafordBBQ,JDH Janos Manso 709,86,342,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,6,BrafordBBQ,BRC Dutton 376/8,17,342,Mr H Pride of Maddox Manso 684/8
D2,VL Rojo Whiskey 1/48,14,BrafordBBQ,JDH Janos Manso 709,70,31947,Mr H Pride of Maddox Manso 684/8
D2,BRC Dutton 376/8,80,BrafordBBQ,BRC Dutton 376/8,95,268,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,81,BrafordBBQ,BRC Dutton 376/8,93,195,VL Rojo Whiskey 1/48
602,Mr H Pride of Maddox Manso 684/8,32,BrafordBBQ,BRC Dutton 376/8,45,166,Mr H Pride of Maddox Manso 684/8
D2,BRC Dutton 376/8,48,BrafordBBQ,JDH Janos Manso 709,76,31518,Mr H Pride of Maddox Manso 684/8
984,BRC Dutton 376/8,34,BrafordBBQ,BRC Dutton 376/8,28,262,VL Rojo Whiskey 1/48
BrafordBBQ,JDH Janos Manso 709,76,BrafordBBQ,JDH Janos Manso 709,90,3/4,VL Rojo Whiskey 1/48
3/4,VL Rojo Whiskey 1/48,35,BrafordBBQ,BRC Dutton 376/8,46,991,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,80,BrafordBBQ,JDH Janos Manso 709,15,31518,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,35,BrafordBBQ,JDH Janos Manso 709,5,187,VL Rojo Whiskey 1/48
04-04,JDH Janos Manso 709,22,BrafordBBQ,BRC Dutton 376/8,15,166,VL Rojo Whiskey 1/48
BrafordBBQ,BRC Dutton 376/8,49,BrafordBBQ,JDH Janos Manso 709,83,984,VL Rojo Whiskey 1/48
825/4,BRC Dutton 376/8,51,BrafordBBQ,BRC Dutton 376/8,3,215,Mr H Pride of Maddox Manso 684/8
04-04,Mr H Pride of Maddox Manso 684/8,37,BrafordBBQ,BRC Dutton 376/8,24,239,VL Rojo Whiskey 1/48
3/4,VL Rojo Whiskey 1/48,17,BrafordBBQ,JDH Janos Manso 709,10,268,Mr H Pride of Maddox Manso 684/8
602,JDH Janos Manso 709,72,BrafordBBQ,BRC Dutton 376/8,20,984,VL Rojo Whiskey 1/48
825/4,VL Rojo Whiskey 1/48,39,BrafordBBQ,JDH Janos Manso 709,91,76,VL Rojo Whiskey 1/48
3/4,JDH Janos Manso 709,28,BrafordBBQ,BRC Dutton 376/8,95,984,Mr H Pride of Maddox Manso 684/8
991,VL Rojo Whiskey 1/48,28,BrafordBBQ,JDH Janos Manso 709,62,984,Mr H Pride of Maddox Manso 684/8
2/4,BRC Dutton 376/8,14,BrafordBBQ,BRC Dutton 376/8,17,984,VL Rojo Whiskey 1/48
04-04,BRC Dutton 376/8,61,BrafordBBQ,BRC Dutton 376/8,51,239,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,JDH Janos Manso 709,98,BrafordBBQ,BRC Dutton 376/8,25,166,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,43,BrafordBBQ,JDH Janos Manso 709,66,3/4,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,9,BrafordBBQ,BRC Dutton 376/8,11,32115,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,54,BrafordBBQ,BRC Dutton 376/8,81,166,Mr H Pride of Maddox Manso 684/8
909,VL Rojo Whiskey 1/48,62,BrafordBBQ,JDH Janos Manso 709,64,268,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,11,BrafordBBQ,JDH Janos Manso 709,35,76,VL Rojo Whiskey 1/48
825/4,Mr H Pride of Maddox Manso 684/8,94,BrafordBBQ,BRC Dutton 376/8,49,32115,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,52,BrafordBBQ,JDH Janos Manso 709,98,215,VL Rojo Whiskey 1/48
2/4,JDH Janos Manso 709,17,BrafordBBQ,BRC Dutton 376/8,69,323,Mr H Pride of Maddox Manso 684/8
984,JDH Janos Manso 709,10,BrafordBBQ,BRC Dutton 376/8,90,3/4,Mr H Pride of Maddox Manso 684/8
825/4,VL Rojo Whiskey 1/48,61,BrafordBBQ,JDH Janos Manso 709,10,991,Mr H Pride of Maddox Manso 684/8
D2,Mr H Pride of Maddox Manso 684/8,71,BrafordBBQ,BRC Dutton 376/8,73,215,Mr H Pride of Maddox Manso 684/8
04-04,Mr H Pride of Maddox Manso 684/8,73,BrafordBBQ,JDH Janos Manso 709,99,166,Mr H Pride of Maddox Manso 684/8
825/4,VL Rojo Whiskey 1/48,31,BrafordBBQ,BRC Dutton 376/8,72,31518,VL Rojo Whiskey 1/48
909,Mr H Pride of Maddox Manso 684/8,81,BrafordBBQ,JDH Janos Manso 709,7,984,VL Rojo Whiskey 1/48
984,JDH Janos Manso 709,51,BrafordBBQ,BRC Dutton 376/8,87,222,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,VL Rojo Whiskey 1/48,23,BrafordBBQ,BRC Dutton 376/8,83,187,VL Rojo Whiskey 1/48
984,JDH Janos Manso 709,38,BrafordBBQ,JDH Janos Manso 709,17,31947,Mr H Pride of Maddox Manso 684/8
991,Mr H Pride of Maddox Manso 684/8,62,BrafordBBQ,BRC Dutton 376/8,80,195,VL Rojo Whiskey 1/48
D2,BRC Dutton 376/8,94,BrafordBBQ,BRC Dutton 376/8,89,3/4,VL Rojo Whiskey 1/48
825/4,Mr H Pride of Maddox Manso 684/8,16,BrafordBBQ,JDH Janos Manso 709,65,3/4,Mr H Pride of Maddox Manso 684/8
909,VL Rojo Whiskey 1/48,54,BrafordBBQ,JDH Janos Manso 709,12,262,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,66,BrafordBBQ,BRC Dutton 376/8,34,239,Mr H Pride of Maddox Manso 684/8
D2,VL Rojo Whiskey 1/48,64,BrafordBBQ,BRC Dutton 376/8,93,268,VL Rojo Whiskey 1/48
991,BRC Dutton 376/8,81,BrafordBBQ,JDH Janos Manso 709,69,262,VL Rojo Whiskey 1/48
825/4,JDH Janos Manso 709,21,BrafordBBQ,JDH Janos Manso 709,67,3/4,VL Rojo Whiskey 1/48
3/4,Mr H Pride of Maddox Manso 684/8,54,BrafordBBQ,BRC Dutton 376/8,52,62,VL Rojo Whiskey 1/48
BrafordBBQ,BRC Dutton 376/8,42,BrafordBBQ,BRC Dutton 376/8,92,239,VL Rojo Whiskey 1/48
909,JDH Janos Manso 709,88,BrafordBBQ,BRC Dutton 376/8,35,222,Mr H Pride of Maddox Manso 684/8
602,JDH Janos Manso 709,63,BrafordBBQ,JDH Janos Manso 709,62,31518,VL Rojo Whiskey 1/48
602,BRC Dutton 376/8,46,BrafordBBQ,BRC Dutton 376/8,15,166,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,81,BrafordBBQ,BRC Dutton 376/8,14,187,VL Rojo Whiskey 1/48
04-04,VL Rojo Whiskey 1/48,43,BrafordBBQ,JDH Janos Manso 709,67,32115,VL Rojo Whiskey 1/48
991,VL Rojo Whiskey 1/48,14,BrafordBBQ,JDH Janos Manso 709,37,323,Mr H Pride of Maddox Manso 684/8
909,Mr H Pride of Maddox Manso 684/8,2,BrafordBBQ,JDH Janos Manso 709,75,31518,VL Rojo Whiskey 1/48
909,JDH Janos Manso 709,1,BrafordBBQ,BRC Dutton 376/8,5,31499,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,VL Rojo Whiskey 1/48,43,BrafordBBQ,JDH Janos Manso 709,78,991,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,96,BrafordBBQ,BRC Dutton 376/8,85,323,Mr H Pride of Maddox Manso 684/8
602,BRC Dutton 376/8,42,BrafordBBQ,JDH Janos Manso 709,48,166,VL Rojo Whiskey 1/48
991,BRC Dutton 376/8,30,BrafordBBQ,BRC Dutton 376/8,40,31518,Mr H Pride of Maddox Manso 684/8
825/4,Mr H Pride of Maddox Manso 684/8,32,BrafordBBQ,BRC Dutton 376/8,100,195,Mr H Pride of Maddox Manso 684/8
2/4,BRC Dutton 376/8,3,BrafordBBQ,JDH Janos Manso 709,96,268,Mr H Pride of Maddox Manso 684/8
D2,Mr H Pride of Maddox Manso 684/8,9,BrafordBBQ,JDH Janos Manso 709,58,3/4,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,10,BrafordBBQ,JDH Janos Manso 709,72,32115,VL Rojo Whiskey 1/48
991,JDH Janos Manso 709,8,BrafordBBQ,BRC Dutton 376/8,6,31518,VL Rojo Whiskey 1/48
04-04,BRC Dutton 376/8,96,BrafordBBQ,BRC Dutton 376/8,100,3/4,VL Rojo Whiskey 1/48
D2,Mr H Pride of Maddox Manso 684/8,88,BrafordBBQ,JDH Janos Manso 709,19,991,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,JDH Janos Manso 709,7,BrafordBBQ,JDH Janos Manso 709,54,323,Mr H Pride of Maddox Manso 684/8
04-04,BRC Dutton 376/8,16,BrafordBBQ,BRC Dutton 376/8,74,31996,Mr H Pride of Maddox Manso 684/8
991,VL Rojo Whiskey 1/48,39,BrafordBBQ,BRC Dutton 376/8,62,187,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,87,BrafordBBQ,JDH Janos Manso 709,66,3/4,Mr H Pride of Maddox Manso 684/8
2/4,VL Rojo Whiskey 1/48,94,BrafordBBQ,BRC Dutton 376/8,97,222,VL Rojo Whiskey 1/48
2/4,JDH Janos Manso 709,8,BrafordBBQ,JDH Janos Manso 709,63,31518,Mr H Pride of Maddox Manso 684/8
825/4,BRC Dutton 376/8,82,BrafordBBQ,JDH Janos Manso 709,37,3/4,Mr H Pride of Maddox Manso 684/8
825/4,BRC Dutton 376/8,6,BrafordBBQ,JDH Janos Manso 709,42,31518,Mr H Pride of Maddox Manso 684/8
909,JDH Janos Manso 709,1,BrafordBBQ,BRC Dutton 376/8,45,31499,Mr H Pride of Maddox Manso 684/8
909,VL Rojo Whiskey 1/48,2,BrafordBBQ,JDH Janos Manso 709,36,984,Mr H Pride of Maddox Manso 684/8
2/4,JDH Janos Manso 709,95,BrafordBBQ,BRC Dutton 376/8,28,215,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,100,BrafordBBQ,JDH Janos Manso 709,33,222,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,26,BrafordBBQ,JDH Janos Manso 709,53,187,VL Rojo Whiskey 1/48
D2,BRC Dutton 376/8,63,BrafordBBQ,JDH Janos Manso 709,43,342,VL Rojo Whiskey 1/48
984,Mr H Pride of Maddox Manso 684/8,19,BrafordBBQ,JDH Janos Manso 709,63,3/4,VL Rojo Whiskey 1/48
2/4,JDH Janos Manso 709,58,BrafordBBQ,JDH Janos Manso 709,64,3/4,VL Rojo Whiskey 1/48
BrafordBBQ,VL Rojo Whiskey 1/48,69,BrafordBBQ,JDH Janos Manso 709,49,61,Mr H Pride of Maddox Manso 684/8
909,BRC Dutton 376/8,88,BrafordBBQ,BRC Dutton 376/8,69,984,Mr H Pride of Maddox Manso 684/8
04-04,Mr H Pride of Maddox Manso 684/8,51,BrafordBBQ,JDH Janos Manso 709,16,31518,VL Rojo Whiskey 1/48
04-04,Mr H Pride of Maddox Manso 684/8,28,BrafordBBQ,JDH Janos Manso 709,15,239,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,52,BrafordBBQ,JDH Janos Manso 709,70,268,VL Rojo Whiskey 1/48
909,Mr H Pride of Maddox Manso 684/8,89,BrafordBBQ,BRC Dutton 376/8,51,195,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,94,BrafordBBQ,JDH Janos Manso 709,20,31996,Mr H Pride of Maddox Manso 684/8
04-04,VL Rojo Whiskey 1/48,92,BrafordBBQ,JDH Janos Manso 709,42,268,VL Rojo Whiskey 1/48
602,JDH Janos Manso 709,34,BrafordBBQ,JDH Janos Manso 709,42,166,VL Rojo Whiskey 1/48
909,JDH Janos Manso 709,90,BrafordBBQ,BRC Dutton 376/8,61,215,VL Rojo Whiskey 1/48
991,VL Rojo Whiskey 1/48,82,BrafordBBQ,JDH Janos Manso 709,41,76,VL Rojo Whiskey 1/48
991,JDH Janos Manso 709,23,BrafordBBQ,BRC Dutton 376/8,13,61,Mr H Pride of Maddox Manso 684/8
825/4,JDH Janos Manso 709,65,BrafordBBQ,BRC Dutton 376/8,83,31499,VL Rojo Whiskey 1/48
D2,JDH Janos Manso 709,27,BrafordBBQ,BRC Dutton 376/8,22,215,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,BRC Dutton 376/8,40,BrafordBBQ,BRC Dutton 376/8,51,222,VL Rojo Whiskey 1/48
04-04,BRC Dutton 376/8,98,BrafordBBQ,JDH Janos Manso 709,61,215,Mr H Pride of Maddox Manso 684/8
D2,JDH Janos Manso 709,43,BrafordBBQ,BRC Dutton 376/8,76,31947,Mr H Pride of Maddox Manso 684/8
BrafordBBQ,JDH Janos Manso 709,38,BrafordBBQ,BRC Dutton 376/8,96,342,Mr H Pride of Maddox Manso 684/8
825/4,Mr H Pride of Maddox Manso 684/8,90,BrafordBBQ,JDH Janos Manso 709,8,31947,Mr H Pride of Maddox Manso 684/8
04-04,BRC Dutton 376/8,42,BrafordBBQ,JDH Janos Manso 709,45,31499,Mr H Pride of Maddox Manso 684/8
909,Mr H Pride of Maddox Manso 684/8,74,BrafordBBQ,BRC Dutton 376/8,19,61,VL Rojo Whiskey 1/48
825/4,JDH Janos Manso 709,83,BrafordBBQ,JDH Janos Manso 709,15,31996,VL Rojo Whiskey 1/48
2/4,VL Rojo Whiskey 1/48,94,BrafordBBQ,JDH Janos Manso 709,25,32115,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,82,BrafordBBQ,JDH Janos Manso 709,36,222,Mr H Pride of Maddox Manso 684/8
909,Mr H Pride of Maddox Manso 684/8,6,BrafordBBQ,JDH Janos Manso 709,47,215,VL Rojo Whiskey 1/48
602,VL Rojo Whiskey 1/48,98,BrafordBBQ,JDH Janos Manso 709,79,62,VL Rojo Whiskey 1/48
04-04,Mr H Pride of Maddox Manso 684/8,84,BrafordBBQ,BRC Dutton 376/8,11,222,VL Rojo Whiskey 1/48
984,Mr H Pride of Maddox Manso 684/8,21,BrafordBBQ,BRC Dutton 376/8,84,187,Mr H Pride of Maddox Manso 684/8
991,VL Rojo Whiskey 1/48,13,BrafordBBQ,JDH Janos Manso 709,92,32115,Mr H Pride of Maddox Manso 684/8
991,JDH Janos Manso 709,39,BrafordBBQ,BRC Dutton 376/8,19,31518,VL Rojo Whiskey 1/48
909,BRC Dutton 376/8,1,BrafordBBQ,JDH Janos Manso 709,99,239,Mr H Pride of Maddox Manso 684/8
602,VL Rojo Whiskey 1/48,53,BrafordBBQ,BRC Dutton 376/8,38,31947,VL Rojo Whiskey 1/48
602,Mr H Pride of Maddox Manso 684/8,7,BrafordBBQ,BRC Dutton 376/8,53,222,VL Rojo Whiskey 1/48
3/4,Mr H Pride of Maddox Manso 684/8,56,BrafordBBQ,JDH Janos Manso 709,62,76,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,6,BrafordBBQ,BRC Dutton 376/8,50,991,Mr H Pride of Maddox Manso 684/8
825/4,VL Rojo Whiskey 1/48,84,BrafordBBQ,JDH Janos Manso 709,42,62,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,39,BrafordBBQ,JDH Janos Manso 709,2,262,VL Rojo Whiskey 1/48
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,25,BrafordBBQ,JDH Janos Manso 709,52,991,Mr H Pride of Maddox Manso 684/8
602,BRC Dutton 376/8,48,BrafordBBQ,JDH Janos Manso 709,71,31518,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,90,BrafordBBQ,JDH Janos Manso 709,83,61,Mr H Pride of Maddox Manso 684/8
909,BRC Dutton 376/8,98,BrafordBBQ,JDH Janos Manso 709,92,31947,VL Rojo Whiskey 1/48
991,JDH Janos Manso 709,48,BrafordBBQ,BRC Dutton 376/8,100,991,Mr H Pride of Maddox Manso 684/8
04-04,Mr H Pride of Maddox Manso 684/8,68,BrafordBBQ,BRC Dutton 376/8,9,76,Mr H Pride of Maddox Manso 684/8
602,BRC Dutton 376/8,40,BrafordBBQ,JDH Janos Manso 709,76,31996,VL Rojo Whiskey 1/48
909,JDH Janos Manso 709,29,BrafordBBQ,BRC Dutton 376/8,25,323,Mr H Pride of Maddox Manso 684/8
04-04,BRC Dutton 376/8,2,BrafordBBQ,BRC Dutton 376/8,40,62,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,29,BrafordBBQ,BRC Dutton 376/8,96,76,Mr H Pride of Maddox Manso 684/8
3/4,VL Rojo Whiskey 1/48,6,BrafordBBQ,JDH Janos Manso 709,51,31499,Mr H Pride of Maddox Manso 684/8
984,Mr H Pride of Maddox Manso 684/8,95,BrafordBBQ,JDH Janos Manso 709,61,166,Mr H Pride of Maddox Manso 684/8
984,BRC Dutton 376/8,28,BrafordBBQ,BRC Dutton 376/8,45,166,VL Rojo Whiskey 1/48
991,VL Rojo Whiskey 1/48,79,BrafordBBQ,JDH Janos Manso 709,100,215,VL Rojo Whiskey 1/48
2/4,JDH Janos Manso 709,86,BrafordBBQ,BRC Dutton 376/8,24,187,VL Rojo Whiskey 1/48
D2,VL Rojo Whiskey 1/48,94,BrafordBBQ,BRC Dutton 376/8,46,984,Mr H Pride of Maddox Manso 684/8
991,BRC Dutton 376/8,96,BrafordBBQ,BRC Dutton 376/8,53,984,VL Rojo Whiskey 1/48
BrafordBBQ,Mr H Pride of Maddox Manso 684/8,79,BrafordBBQ,BRC Dutton 376/8,74,166,Mr H Pride of Maddox Manso 684/8
04-04,VL Rojo Whiskey 1/48,43,BrafordBBQ,BRC Dutton 376/8,65,262,VL Rojo Whiskey 1/48
909,JDH Janos Manso 709,20,BrafordBBQ,JDH Janos Manso 709,22,31947,VL Rojo Whiskey 1/48
991,Mr H Pride of Maddox Manso 684/8,29,BrafordBBQ,JDH Janos Manso 709,78,31996,Mr H Pride of Maddox Manso 684/8
