Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
6,12/17/2025,597/9,967/9,237,3,98,-97,78.37
2,14-Nov-25,820/4,Prepared For,276,3,4,-97,92.4
34,Whiskey 1/48,DAM,597,Recipient TagID,17-Jan-2026,51,-97,82.28
30,V8 160/8,597/9,747,31947,2,48,-96,64.24
35,ET Date,765/4,SM007,268,No,51,-79,93.1
54,14-Nov-25,967/9,02/04,61,6,48,-96,74.35
47,ET Date,612,4-08,195,2,29,-96,63.64
55,Summary ,909/9,825/4,31890,5,73,-80,75.93
21,Karu Manso 800-1,820/4,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,263,36,62,DIP,96.24
42,Total,765/4,Mr H Pride of Maddox Manso 684/8,323,No,11,-79,96.81
44,SIRE,602,2/4,195,17-Jan-2026,69,-97,87.56
5,SIRE,609,DAM,223,2,12,-96,64.82
6,11/30/2025,825/4,2/4,342,36,51,-79,64.85
6,Pride of Maddox,609,631/9,31890,Pregnant,88,-96,95.29
3,Whiskey 60/1,765/4,649/9,262,Pregnant Y/N,27,-77,64.44
12,Whiskey 1/48,2/4,02/04,95,No,52,-96,92.36
2. This report serves as official delivery confirmation for the client’s IVF order.,Whiskey 60/1,612,2/4,375,6,29,DIP,92.92
42,SM007,967/9,VL Rojo Whiskey 1/48,106,3,84,DIP,65.64
50,Total,612,Mr H Pride of Maddox Manso 684/8,343,No,25,DIP,72.68
21,Summary ,967/9,649/9,375,No,9,DIP,82.15
Notes:,Total,909,609/9,262,17-Jan-2026,100,-96,64.17
27,Summary ,820/4,747,2,Pregnant,10,-96,66.24
1,Karu Manso 800-1,609/9,609/9,378,36,44,-80,78.18
15,Karu Manso 800-1,609,597,323,17-Jan-2026,63,DIP,86.94
16,12/3/2025,967/9,602/9,312,Pregnant Y/N,46,-77,73.28
47,ET Date,609/9,Prepared On,230,Pregnant,36,-96,84.23
26,12/17/2025,602,602/9,302,Pregnant Y/N,17,-96,71.9
26,Pride of Maddox,DAM,747,281,Pregnant,92,-80,89.81
52,Karu Manso 800-1,765/4,825/4,62,Pregnant Y/N,34,-79,74.05
30,Total,820/4,SIRE,281,6,96,-96,89.16
55,Total,825/4,Karu Manso 800,239,3,39,-79,94.23
1,12/1/2025,602,631/9,75,No,74,-79,80.8
5,Whiskey 60/1,825/4,Prepared On,126,17-Jan-2026,76,-79,80.48
11,12/1/2025,765/4,SIRE,276,17-Jan-2026,31,DIP,96.51
31,Whiskey 1/48,04-04,02/04,125,1,35,-79,69.53
30,12/1/2025,612,VL Rojo Whiskey 1/48,329,No,27,-97,76.17
Notes:,Karu Manso 800-1,609/9,909/9,364,Pregnant,46,-79,73.75
7,SIRE,747,609/9,32835,3,36,-79,87.63
22,12/3/2025,825/4,SM007,75,6,85,-77,82.59
16,12/3/2025,602,SM007,180,Pregnant,90,-97,72.51
16,11/30/2025,909/9,612,56,36,73,-97,71.43
35,Pride of Maddox,820/4,DAM,55,Pregnant Y/N,76,-96,77.71
1,Whiskey 1/48,597/9,2/4,169,Pregnant Y/N,60,DIP,66.2
55,Whiskey 1/48,765/4,VL Rojo Whiskey 1/48,73,5,3,-79,93.8
55,13-Nov-25,909/9,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,82,Palari Cattle Farm,67,-97,80.98
10,Total,825/4,SM007,342,6,70,-77,77.37
48,13-Nov-25,967/9,649/9,188,Pregnant,67,-96,83.16
28,Total,967/9,747,126,3,66,-80,92.98
50,ET Date,909,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,180,17-Jan-2026,30,-97,95.49
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",Summary ,909,909/9,195,6,58,DIP,67.6
8,ET Date,04-04,2/4,338,17-Jan-2026,16,DIP,67.97
18,Karu Manso 800-1,765/4,747,375,No,55,-79,72.31
5,Summary ,609,909/9,31996,3,97,-79,67.31
32,SIRE,DAM,04-04,95,36,11,-96,78.73
2. This report serves as official delivery confirmation for the client’s IVF order.,V8 160/8,597/9,CONFIRMED IVF PREGNANCY REPORT,169,No,36,-97,72.76
32,Karu Manso 800-1,909/9,820/4,Recipient TagID,Palari Cattle Farm,35,-97,68.19
14,14-Nov-25,DAM,825/4,223,Pregnant,66,-97,71.22
31,14-Nov-25,825/4,VL Rojo Whiskey 1/48,342,No,30,-97,66.9
15,SM007,602,609/9,73,6,19,-96,92.77
Notes:,Whiskey 1/48,609/9,631/9,139,Palari Cattle Farm,71,-97,69.13
34,ET Date,612,SIRE,112,No,57,-79,68.76
26,13-Nov-25,612,SM007,180,3,2,-96,89.61
37,12/3/2025,609,SM007,32165,3,77,-79,64.27
2. This report serves as official delivery confirmation for the client’s IVF order.,SIRE,612,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,125,1,81,DIP,68.41
8,12/1/2025,2/4,DAM,1,17-Jan-2026,32,DIP,76.12
31,11/30/2025,609,597,56,1,45,-77,70.97
50,Whiskey 1/48,820/4,602/9,378,No,78,-97,94.95
20,Whiskey 1/48,602,747,73,No,27,-80,72.09
16,14-Nov-25,602,DAM,187,No,12,DIP,69.8
6,SM007,967/9,820/4,302,36,93,DIP,82.94
Sr. No,Total,609,602/9,226,3,6,DIP,90.21
3,SIRE,DAM,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,312,1,27,DIP,88.65
54,11/30/2025,04-04,649/9,262,6,98,-97,95.46
33,12/12/2025,2/4,Karu Manso 800,202,6,5,-96,95.73
20,Whiskey 60/1,609,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,106,5,16,-79,84.68
48,Whiskey 1/48,825/4,4-08,342,Palari Cattle Farm,52,-96,88.93
20,ET Date,909/9,597,187,3,42,-80,85.43
48,14-Nov-25,909,825/4,180,2,83,DIP,71.77
36,14-Nov-25,909,SIRE,188,17-Jan-2026,78,-79,71.03
8,12/12/2025,DAM,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,17-Jan-2026,59,-77,95.92
35,SM007,825/4,MR V8 160/8,263,No,77,-79,74.11
15,Karu Manso 800-1,04-04,4-08,61,Palari Cattle Farm,64,-80,94.64
28,Whiskey 60/1,825/4,2/4,32240,2,84,-96,83.72
4,V8 160/8,609,609/9,112,Pregnant,27,-77,72.39
2,14-Nov-25,967/9,Karu Manso 800,76,Palari Cattle Farm,69,-96,64.13
16,SM007,609,4-08,75,2,72,DIP,79.2
1,SM007,765/4,649/9,329,Palari Cattle Farm,52,-80,74.1
11,Total,967/9,Mr H Pride of Maddox Manso 684/8,95,Pregnant,3,-96,82.99
3,ET Date,747,Rojo Whiskey 60/1,323,3,16,DIP,92.39
12,13-Nov-25,602,Prepared For,106,1,96,DIP,79.28
53,13-Nov-25,909,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,302,No,97,-80,75.23
52,12/3/2025,609/9,SM007,239,Pregnant,39,-80,89.51
36,SIRE,602,SIRE,223,17-Jan-2026,14,DIP,75.14
12,Whiskey 1/48,602,825/4,226,5,38,-96,87.87
36,14-Nov-25,609/9,CONFIRMED IVF PREGNANCY REPORT,Units,Palari Cattle Farm,74,-80,79.21
19,11/30/2025,967/9,825/4,1,Pregnant Y/N,25,-96,69.32
2,Whiskey 1/48,609,Prepared For,188,No,41,-79,87.36
35,11/30/2025,612,VL Rojo Whiskey 1/48,226,36,53,-79,76.08
Sr. No,Karu Manso 800-1,612,4-08,276,6,6,-79,88.06
42,V8 160/8,747,04-04,31947,1,32,DIP,87.64
2. This report serves as official delivery confirmation for the client’s IVF order.,ET Date,597/9,MR V8 160/8,106,36,36,-77,87.5
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",SM007,967/9,612,349,6,17,-97,64.17
47,Summary ,820/4,SIRE,263,Palari Cattle Farm,92,DIP,88.98
20,Pride of Maddox,967/9,649/9,222,Palari Cattle Farm,92,-96,73.73
13,Whiskey 60/1,820/4,Mr H Pride of Maddox Manso 684/8,76,No,60,-79,71.23
30,14-Nov-25,DAM,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,349,36,63,-79,80.98
47,ET Date,820/4,631/9,Recipient TagID,2,41,-79,73.5
50,Pride of Maddox,609/9,825/4,180,1,17,-77,75.29
18,Whiskey 60/1,609/9,SIRE,32240,36,99,-79,88.11
27,ET Date,2/4,04-04,32165,2,27,DIP,87.18
55,12/12/2025,609,Karu Manso 800,61,Palari Cattle Farm,15,-77,67.92
2. This report serves as official delivery confirmation for the client’s IVF order.,Pride of Maddox,765/4,SM007,187,Pregnant,87,-96,81.02
8,Whiskey 60/1,609,909/9,31947,1,55,DIP,66.88
27,14-Nov-25,909,602/9,343,6,37,DIP,96.11
34,ET Date,602,612,323,2,18,-97,90.98
19,V8 160/8,609,DAM,222,No,66,-79,83.31
52,SM007,597/9,04-04,32240,2,1,-77,90.37
29,12/3/2025,DAM,Prepared On,343,No,90,-79,89.28
50,Total,967/9,Prepared For,2,No,46,-80,65.94
6,12/17/2025,2/4,4-08,343,36,75,-97,72.7
17,Summary ,967/9,Karu Manso 800,112,No,42,-77,76.17
19,Total,967/9,DAM,329,6,96,-77,94.22
36,SIRE,747,CONFIRMED IVF PREGNANCY REPORT,41,6,100,-77,68.58
10,12/3/2025,820/4,825/4,106,Pregnant,62,-77,85.24
12,11/30/2025,2/4,825/4,125,3,27,-80,65.96
4,Pride of Maddox,602,4-08,Recipient TagID,Palari Cattle Farm,25,DIP,80.81
49,SIRE,909,649/9,338,1,88,-79,64.58
21,Whiskey 60/1,602,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,73,5,47,-77,77.59
31,SM007,609,Prepared On,276,2,61,-96,63.4
6,Pride of Maddox,DAM,602/9,268,2,85,DIP,75.02
36,Total,2/4,02/04,139,1,90,DIP,76.2
6,Karu Manso 800-1,DAM,612,378,Pregnant,43,-77,65.84
33,12/12/2025,04-04,Mr H Pride of Maddox Manso 684/8,Units,6,46,-79,63.51
21,SIRE,DAM,DAM,180,2,12,-97,75.28
11,12/1/2025,747,4-08,1,6,17,-96,95.79
32,12/12/2025,609,631/9,281,3,97,-77,77.39
7,SM007,909,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,262,Pregnant Y/N,16,-80,84.5
55,12/1/2025,609/9,609/9,3,36,49,-79,80.9
1,12/1/2025,DAM,VL Rojo Whiskey 1/48,31996,5,74,-97,63.73
Notes:,Whiskey 1/48,04-04,2/4,223,Pregnant Y/N,69,-77,64.96
36,13-Nov-25,602,SM007,31890,Pregnant Y/N,11,-79,83.96
26,Summary ,909/9,Karu Manso 800,2,2,45,-96,75.71
8,ET Date,609/9,04-04,79,2,80,-77,64.31
42,12/3/2025,747,612,109,Palari Cattle Farm,69,-77,70.94
35,Whiskey 1/48,2/4,Prepared For,125,No,58,DIP,93.03
7,12/17/2025,747,747,31890,36,64,-97,82.64
20,12/17/2025,602,649/9,312,Pregnant,83,-79,70.32
30,13-Nov-25,602,909/9,262,2,70,-97,75.16
24,Karu Manso 800-1,609/9,02/04,326,36,94,-80,94.4
33,12/12/2025,602,820/4,378,6,91,-80,75.06
26,SM007,747,609/9,79,Pregnant Y/N,5,-97,66.33
9,Whiskey 60/1,04-04,825/4,268,1,62,-96,76.8
19,12/12/2025,765/4,02/04,338,1,97,-80,63.5
49,SIRE,609/9,597,139,Pregnant Y/N,35,-77,89.9
37,12/1/2025,967/9,649/9,222,Pregnant Y/N,55,-77,95.6
25,12/1/2025,747,Rojo Whiskey 60/1,226,36,25,DIP,84.91
1,Total,820/4,612,32835,Pregnant,36,DIP,66.64
6,Whiskey 60/1,597/9,820/4,349,6,96,-97,79.95
19,SM007,DAM,MR V8 160/8,3,2,79,-77,64.85
31,Whiskey 1/48,909,Karu Manso 800,329,3,3,-96,67.39
Sr. No,Whiskey 60/1,609,MR V8 160/8,364,No,42,-96,85.47
23,SIRE,612,820/4,329,6,37,-96,68.12
12,Pride of Maddox,825/4,820/4,139,Palari Cattle Farm,29,-96,84.47
10,12/1/2025,609,747,269,5,91,-77,81.99
22,ET Date,765/4,Prepared On,262,2,19,-79,63.35
44,Karu Manso 800-1,820/4,4-08,79,2,10,-97,71.8
34,Total,DAM,649/9,329,36,40,-79,75.71
26,11/30/2025,597/9,612,75,No,38,-96,73.02
33,12/12/2025,825/4,820/4,Recipient TagID,5,12,-97,66.17
24,Total,765/4,02/04,338,17-Jan-2026,94,-79,85.92
Sr. No,Summary ,612,609/9,3,1,75,-96,76.67
22,Pride of Maddox,609/9,Karu Manso 800,263,Pregnant Y/N,4,-96,79.64
49,14-Nov-25,597/9,825/4,329,Palari Cattle Farm,54,-97,86.05
25,12/3/2025,820/4,909/9,73,No,78,-80,88.04
27,12/12/2025,612,825/4,31996,6,61,-80,96.59
48,14-Nov-25,609,MR V8 160/8,268,Palari Cattle Farm,34,-96,84.34
17,12/17/2025,909,Mr H Pride of Maddox Manso 684/8,262,2,80,-97,78.94
18,Summary ,747,649/9,326,6,69,-96,92.81
42,Whiskey 1/48,765/4,597,125,Pregnant,40,-80,73.71
21,Whiskey 1/48,612,747,329,17-Jan-2026,14,-97,95.41
47,Pride of Maddox,609/9,2/4,31996,No,35,-77,64.62
35,ET Date,765/4,631/9,226,36,13,DIP,89.16
22,13-Nov-25,765/4,597,262,Palari Cattle Farm,83,-97,94.56
54,11/30/2025,2/4,Prepared On,32165,36,39,-77,81.18
3,SM007,765/4,602/9,375,6,93,-77,80.64
5,Pride of Maddox,597/9,Prepared On,326,No,57,DIP,92.46
34,Total,967/9,4-08,269,Pregnant,77,-96,79.82
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",SIRE,612,2/4,2,6,84,-80,80.25
33,ET Date,909/9,4-08,188,No,70,-96,94.19
53,Summary ,609/9,609/9,263,Pregnant,22,-96,78.46
55,Karu Manso 800-1,909/9,909/9,342,No,39,-77,67.35
49,Total,820/4,Rojo Whiskey 60/1,180,Pregnant,24,DIP,82.63
31,Summary ,967/9,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,342,5,83,-97,85.89
32,Whiskey 1/48,825/4,Rojo Whiskey 60/1,230,5,28,-80,66.33
33,12/17/2025,820/4,DAM,125,1,52,-96,82.86
2,SM007,2/4,825/4,202,17-Jan-2026,99,-79,75.2
13,Total,967/9,SIRE,82,1,32,DIP,95.92
27,14-Nov-25,612,2/4,166,6,95,-96,65.97
17,Whiskey 60/1,597/9,2/4,378,2,77,-80,75.17
2. This report serves as official delivery confirmation for the client’s IVF order.,Pride of Maddox,909,Prepared For,31947,Pregnant Y/N,44,-96,73.34
42,12/12/2025,04-04,VL Rojo Whiskey 1/48,95,No,1,-96,81.15
14,SM007,602,SIRE,202,6,23,-77,64.11
27,12/3/2025,612,825/4,215,Palari Cattle Farm,30,-77,93.82
52,Pride of Maddox,825/4,909/9,32093,Palari Cattle Farm,61,-96,63.15
54,Total,DAM,CONFIRMED IVF PREGNANCY REPORT,326,Pregnant Y/N,65,DIP,83.72
53,12/17/2025,602,909/9,75,5,29,-77,64.31
2,12/3/2025,612,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,239,No,66,-79,95.34
42,12/1/2025,825/4,909/9,302,6,91,-79,75.91
17,11/30/2025,820/4,825/4,169,17-Jan-2026,5,-79,65.54
44,Whiskey 1/48,820/4,4-08,180,2,57,-80,66.59
3,SM007,602,CONFIRMED IVF PREGNANCY REPORT,62,36,21,-77,96.14
2. This report serves as official delivery confirmation for the client’s IVF order.,Karu Manso 800-1,2/4,DAM,2,36,54,-97,70.19
32,13-Nov-25,602,649/9,166,Pregnant Y/N,59,-77,90.36
1,Total,2/4,820/4,222,2,28,-79,65.84
18,14-Nov-25,820/4,Prepared On,215,Palari Cattle Farm,12,-77,67.94
19,Pride of Maddox,765/4,825/4,76,Pregnant,95,-97,70.31
4,14-Nov-25,747,Karu Manso 800,338,1,34,-97,93.01
4,14-Nov-25,747,02/04,32093,Pregnant Y/N,49,-77,90.26
7,ET Date,602,DAM,32093,Pregnant,44,-79,86.21
27,14-Nov-25,597/9,597,329,Palari Cattle Farm,64,-80,96.82
8,12/12/2025,909/9,Mr H Pride of Maddox Manso 684/8,75,2,12,DIP,73.33
9,Pride of Maddox,609/9,Karu Manso 800,126,36,83,-96,95.86
18,14-Nov-25,825/4,747,76,17-Jan-2026,32,-96,93.61
Sr. No,SIRE,825/4,2/4,31996,17-Jan-2026,27,-80,68.35
11,Summary ,909/9,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,349,2,60,-77,87.07
