Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
14,Grey Brahman,10-12,Prepared For,820/4,Beef Master,SIRE Name,115
11,12/12/2025,174,DAM,04-08,Red Brahman,BRC MR. JUMANJI 67,107
31,Summary ,32159,1st PC Result,23,Red Brahman,BRC Dutton 376/8,144
31,12/17/2025,3/8,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,1,Grey Brahman,BRC Dutton 376/8,115
18,12/12/2025,301,Pregnant,2/4,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,96
16,10/26/2025,362,Red Brahman,23035,Angus,BRC MR. JUMANJI 67,115
21,10/26/2025,362,Red Brahman,827,Red Brahman,Reconquista 413 Eterno GC Bartolome,96
5,12/12/2025,174,1st PC Result,649/9,Angus,SIRE Name,DIP
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",12/12/2025,10-12,Prepared On,204,Angus,Reconquista 413 Eterno GC Bartolome,107
26,Angus,97,Red Brahman,2,Red Brahman,JDH Janos Manso 709,68
27,10/27/2025,250,Angus,909,Red Brahman,SIRE Name,96
3,10/27/2025,32145,CONFIRMED IVF PREGNANCY REPORT,909,17-Jan-2026,JDH Janos Manso 709,68
12,12/17/2025,3/5,1st PC Result,29M,AQ Cattle,BRC Dutton 376/8,DIP
5,10/26/2025,173,Prepared On,609/9,Beef Master,MR H AUBURN ROJO 706,96
32,SIRE,198,Prepared For,204,Donor Breed,SIRE Name,96
17,12/12/2025,2/22,DAM,609/9,Beef Master,JDH Janos Manso 709,114
19,Summary ,6/20,1st PC Result,820/4,Beef Master,Reconquista 413 Eterno GC Bartolome,DIP
7,11/14/2025,6/20,Red Brahman,608,Red Brahman,MR H AUBURN ROJO 706,115
4,Red Brahman,31828,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,2,AQ Cattle,BRC Dutton 376/8,115
2. This report serves as official delivery confirmation for the client’s IVF order.,11/3/2025,08-31,Prepared On,23,17-Jan-2026,MR H AUBURN ROJO 706,63
30,Beef Master,300,Prepared For,23,AQ Cattle,BRC MR. JUMANJI 67,DIP
32,11/3/2025,243,Prepared For,8,Donor Breed,BRC MR. JUMANJI 67,68
11,12/17/2025,31874,Beef Master,612,AQ Cattle,JDH Janos Manso 709,115
33,Red Brahman,3/5,Angus,Units,Donor Breed,SIRE Name,107
12,11/14/2025,174,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,402,Beef Master,SIRE Name,DIP
29,10/26/2025,320,CONFIRMED IVF PREGNANCY REPORT,23035,Red Brahman,BRC MR. JUMANJI 67,114
11,Beef Master,3/30,Prepared On,402,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,144
6,12/12/2025,219,Red Brahman,204,Beef Master,BRC MR. JUMANJI 67,68
6,Grey Brahman,08-28,Red Brahman,8,Beef Master,SIRE Name,107
8,11/3/2025,198,DAM,23035,AQ Cattle,JDH Janos Manso 709,63
22,Total,219,Red Brahman,23,Donor Breed,BRC MR. JUMANJI 67,DIP
8,Grey Brahman,08-31,Prepared For,612,Donor Breed,JDH Janos Manso 709,96
34,Red Brahman,320,Prepared On,649/9,Angus,Reconquista 413 Eterno GC Bartolome,115
3,11/3/2025,32145,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,23,Grey Brahman,SIRE Name,96
13,10/27/2025,97,Pregnant,2,Grey Brahman,Reconquista 413 Eterno GC Bartolome,63
20,ET Date,10-12,CONFIRMED IVF PREGNANCY REPORT,23,Donor Breed,BRC Dutton 376/8,DIP
22,ET Date,2/22,Grey Brahman,Units,17-Jan-2026,JDH Janos Manso 709,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,12/12/2025,300,1st PC Result,402,17-Jan-2026,SIRE Name,63
2. This report serves as official delivery confirmation for the client’s IVF order.,ET Date,31291,Pregnant,2/4,Beef Master,Reconquista 413 Eterno GC Bartolome,144
6,SIRE,300,1st PC Result,204,Grey Brahman,BRC MR. JUMANJI 67,114
16,ET Date,307,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,609,AQ Cattle,SIRE Name,68
6,Beef Master,2/22,Grey Brahman,609,Grey Brahman,SIRE Name,144
25,Summary ,173,Angus,23035,Angus,BRC Dutton 376/8,107
20,Angus,307,Prepared For,Units,AQ Cattle,SIRE Name,115
3,12/12/2025,362,Red Brahman,608,17-Jan-2026,BRC Dutton 376/8,114
25,11/3/2025,31291,Beef Master,1,Angus,BRC Dutton 376/8,63
20,11/3/2025,32171,Red Brahman,2/4,Red Brahman,Reconquista 413 Eterno GC Bartolome,63
16,11/3/2025,320,Prepared On,609,Angus,BRC Dutton 376/8,68
32,12/17/2025,97,Red Brahman,820/4,Red Brahman,SIRE Name,115
11,SIRE,3/8,CONFIRMED IVF PREGNANCY REPORT,2/4,Beef Master,JDH Janos Manso 709,96
22,SIRE,362,CONFIRMED IVF PREGNANCY REPORT,2/4,Angus,Reconquista 413 Eterno GC Bartolome,DIP
17,11/3/2025,300,Beef Master,29M,Grey Brahman,BRC Dutton 376/8,107
10,10/27/2025,10-12,Prepared On,608,AQ Cattle,BRC MR. JUMANJI 67,68
8,11/3/2025,307,CONFIRMED IVF PREGNANCY REPORT,29M,Donor Breed,MR H AUBURN ROJO 706,107
30,ET Date,300,Red Brahman,2,AQ Cattle,JDH Janos Manso 709,115
19,Grey Brahman,301,Beef Master,609,Red Brahman,BRC Dutton 376/8,115
2. This report serves as official delivery confirmation for the client’s IVF order.,Red Brahman,31291,Grey Brahman,608,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,115
25,Summary ,32145,Pregnant,2,AQ Cattle,Reconquista 413 Eterno GC Bartolome,114
34,Total,2/22,Beef Master,1,Beef Master,JDH Janos Manso 709,63
10,Red Brahman,6/20,Pregnant,2/4,Donor Breed,MR H AUBURN ROJO 706,144
22,Grey Brahman,08-28,Angus,Donor,Red Brahman,BRC MR. JUMANJI 67,96
13,Beef Master,320,Grey Brahman,402,17-Jan-2026,BRC MR. JUMANJI 67,114
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",Grey Brahman,2/22,Pregnant,827,Red Brahman,JDH Janos Manso 709,107
9,Total,3/30,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,612,Angus,SIRE Name,144
20,SIRE,307,Prepared For,612,Beef Master,JDH Janos Manso 709,DIP
2. This report serves as official delivery confirmation for the client’s IVF order.,11/3/2025,6/20,DAM,909,Donor Breed,MR H AUBURN ROJO 706,115
20,9/27/2025,362,Grey Brahman,402,Angus,SIRE Name,114
4,SIRE,32171,DAM,257,AQ Cattle,MR H AUBURN ROJO 706,68
27,9/27/2025,2/22,Red Brahman,609/9,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,96
20,Summary ,219,DAM,909,Red Brahman,JDH Janos Manso 709,68
10,ET Date,3/5,Prepared On,34,17-Jan-2026,BRC MR. JUMANJI 67,63
16,Beef Master,185,Angus,2/4,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,115
28,12/12/2025,6/20,CONFIRMED IVF PREGNANCY REPORT,04-08,Donor Breed,Reconquista 413 Eterno GC Bartolome,96
Notes:,11/14/2025,3/30,Grey Brahman,23035,Grey Brahman,JDH Janos Manso 709,115
34,12/12/2025,3/14,Grey Brahman,23,Angus,SIRE Name,115
5,Angus,198,Grey Brahman,649,Angus,BRC Dutton 376/8,107
5,10/27/2025,185,DAM,820/4,Donor Breed,JDH Janos Manso 709,63
19,Grey Brahman,32145,Prepared For,Donor,Red Brahman,JDH Janos Manso 709,DIP
21,12/17/2025,DZ 81,Beef Master,2,Red Brahman,BRC MR. JUMANJI 67,144
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",10/27/2025,31828,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,609,AQ Cattle,SIRE Name,96
17,Beef Master,31291,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,04-08,Grey Brahman,MR H AUBURN ROJO 706,115
25,11/14/2025,32145,Prepared For,257,Red Brahman,JDH Janos Manso 709,68
15,11/14/2025,6/20,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,257,Grey Brahman,JDH Janos Manso 709,114
9,12/17/2025,185,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,609,Grey Brahman,JDH Janos Manso 709,115
8,SIRE,97,1st PC Result,04-08,Beef Master,SIRE Name,114
2. This report serves as official delivery confirmation for the client’s IVF order.,10/27/2025,182,Grey Brahman,23,Donor Breed,BRC Dutton 376/8,96
28,11/14/2025,354,1st PC Result,2/4,AQ Cattle,SIRE Name,63
2. This report serves as official delivery confirmation for the client’s IVF order.,Summary ,31724,Prepared For,402,Red Brahman,BRC Dutton 376/8,DIP
22,Red Brahman,3/14,Pregnant,8,Angus,JDH Janos Manso 709,107
3,11/14/2025,97,Red Brahman,909,Angus,BRC Dutton 376/8,68
7,Red Brahman,219,Angus,402,Red Brahman,JDH Janos Manso 709,DIP
7,11/14/2025,10-12,Prepared For,8,Beef Master,JDH Janos Manso 709,68
19,12/12/2025,08-31,CONFIRMED IVF PREGNANCY REPORT,204,17-Jan-2026,JDH Janos Manso 709,107
6,SIRE,190,Grey Brahman,204,17-Jan-2026,BRC MR. JUMANJI 67,96
2. This report serves as official delivery confirmation for the client’s IVF order.,12/17/2025,243,Prepared On,820/4,Donor Breed,Reconquista 413 Eterno GC Bartolome,144
29,9/27/2025,32145,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,909,Grey Brahman,BRC Dutton 376/8,115
34,11/3/2025,190,DAM,8,17-Jan-2026,SIRE Name,115
3,9/27/2025,32145,Prepared On,1,Angus,JDH Janos Manso 709,144
26,10/26/2025,32145,1st PC Result,649,17-Jan-2026,JDH Janos Manso 709,107
4,Total,Recipient ID,1st PC Result,2,Red Brahman,BRC Dutton 376/8,68
20,11/3/2025,190,CONFIRMED IVF PREGNANCY REPORT,34,Grey Brahman,JDH Janos Manso 709,68
3,12/17/2025,08-28,Beef Master,Units,Red Brahman,BRC Dutton 376/8,63
9,Total,198,CONFIRMED IVF PREGNANCY REPORT,23,Beef Master,BRC Dutton 376/8,96
14,ET Date,31828,Prepared For,Units,Red Brahman,BRC MR. JUMANJI 67,114
23,Beef Master,97,Grey Brahman,612,Angus,MR H AUBURN ROJO 706,114
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",10/27/2025,32171,Red Brahman,649,Red Brahman,BRC MR. JUMANJI 67,115
"3. Any further monitoring, calving guarantees, or post-confirmation services are governed by the agreed commercial terms.",ET Date,307,CONFIRMED IVF PREGNANCY REPORT,1,AQ Cattle,SIRE Name,115
34,Grey Brahman,08-31,1st PC Result,Donor,Red Brahman,BRC Dutton 376/8,68
17,ET Date,32171,Pregnant,609,17-Jan-2026,Reconquista 413 Eterno GC Bartolome,96
6,Beef Master,2/22,Angus,827,Angus,Reconquista 413 Eterno GC Bartolome,96
20,Angus,219,Grey Brahman,204,Grey Brahman,SIRE Name,DIP
28,11/3/2025,08-28,DAM,609,AQ Cattle,BRC Dutton 376/8,63
8,SIRE,32159,Pregnant,609/9,Angus,Reconquista 413 Eterno GC Bartolome,DIP
10,Summary ,250,DAM,34,Red Brahman,MR H AUBURN ROJO 706,96
5,11/3/2025,32145,CONFIRMED IVF PREGNANCY REPORT,909,Angus,SIRE Name,115
22,11/3/2025,229,Red Brahman,609/9,Red Brahman,MR H AUBURN ROJO 706,144
16,12/12/2025,32159,Grey Brahman,402,Grey Brahman,Reconquista 413 Eterno GC Bartolome,107
8,10/26/2025,32171,Prepared On,23,Red Brahman,JDH Janos Manso 709,DIP
22,12/17/2025,185,Angus,609,Beef Master,JDH Janos Manso 709,144
20,Total,185,Prepared For,909,Beef Master,BRC MR. JUMANJI 67,144
18,Angus,31724,CONFIRMED IVF PREGNANCY REPORT,8,Red Brahman,BRC Dutton 376/8,114
14,Beef Master,6/20,This report documents confirmed pregnancies resulting from the bovine IVF and embryo transfer program executed by DayZee Farms (Pvt.) Ltd. All pregnancies listed in this report have been confirmed via ultrasound examination at the recorded DIP.,827,Angus,BRC MR. JUMANJI 67,115
33,ET Date,97,Pregnant,402,Angus,MR H AUBURN ROJO 706,DIP
31,Angus,08-28,Prepared On,649,Donor Breed,Reconquista 413 Eterno GC Bartolome,DIP
20,Red Brahman,243,CONFIRMED IVF PREGNANCY REPORT,204,Beef Master,BRC MR. JUMANJI 67,DIP
"1. Dam, sire, recipient tag ID, and embryo transfer dates are accurately documented for genetic traceability and commercial validation.",12/12/2025,31828,DAM,8,Donor Breed,BRC MR. JUMANJI 67,DIP
8,11/3/2025,250,Red Brahman,649,Beef Master,MR H AUBURN ROJO 706,107
12,Summary ,301,DAM,2,Angus,BRC MR. JUMANJI 67,115
31,10/27/2025,362,Prepared On,23,Red Brahman,BRC Dutton 376/8,114
26,Red Brahman,185,Pregnant,609,Angus,BRC Dutton 376/8,DIP
4,12/12/2025,2/22,DAM,827,AQ Cattle,MR H AUBURN ROJO 706,63
